X,Y,tunniste,objektinVoimassaoloaika,haetunDatanVoimassaoloaika,rata,ratanumero,ratakm,pituus,seuraavaKilometrimerkki,icon_url
24.8053734334438,63.9963330371633,1.2.246.586.1.41.1006873160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","687","1000",1.2.246.586.1.41.1006883160119,./0.png
28.3090103730964,64.5436553606176,1.2.246.586.1.41.1006873487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","687","1000",1.2.246.586.1.41.1006883487026,./0.png
28.6046441116448,64.4136719653336,1.2.246.586.1.41.1006873487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","687","1009",1.2.246.586.1.41.1006883487028,./0.png
30.8165851888864,62.6218296374466,1.2.246.586.1.41.1006873617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","687","1000",1.2.246.586.1.41.1006883617330,./0.png
30.1238803751588,63.0178619269298,1.2.246.586.1.41.1006883158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","688","1000",1.2.246.586.1.41.1006893158070,./0.png
25.0012686745993,64.5151036911175,1.2.246.586.1.41.1006883158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","688","1000",1.2.246.586.1.41.1006893158072,./0.png
24.7899889236614,64.002241729392,1.2.246.586.1.41.1006883160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","688","1000",1.2.246.586.1.41.1006893160119,./0.png
28.3137764807898,64.5521505265094,1.2.246.586.1.41.1006883487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","688","1000",1.2.246.586.1.41.1006893487026,./0.png
28.6253512902202,64.4149362749033,1.2.246.586.1.41.1006883487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","688","1000",1.2.246.586.1.41.1006893487028,./0.png
30.8318059571764,62.6274311364683,1.2.246.586.1.41.1006883617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","688","1001",1.2.246.586.1.41.1006893617330,./0.png
30.119718802905,63.0266151972544,1.2.246.586.1.41.1006893158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","689","1000",1.2.246.586.1.41.1006903158070,./0.png
25.0035023159689,64.5240213432707,1.2.246.586.1.41.1006893158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","689","1000",1.2.246.586.1.41.1006903158072,./0.png
24.7746127165107,64.008139977475,1.2.246.586.1.41.1006893160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","689","1000",1.2.246.586.1.41.1006903160119,./0.png
28.3232523608449,64.5601404615456,1.2.246.586.1.41.1006893487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","689","1000",1.2.246.586.1.41.1006903487026,./0.png
28.6458702419326,64.4161885344252,1.2.246.586.1.41.1006893487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","689","1000",1.2.246.586.1.41.1006903487028,./0.png
30.8470476903664,62.6330365890191,1.2.246.586.1.41.1006893617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","689","1002",1.2.246.586.1.41.1006903617330,./0.png
30.1165664863893,63.0354731800281,1.2.246.586.1.41.1006903158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","690","995",1.2.246.586.1.41.1006913158070,./0.png
25.005739624988,64.5329429204531,1.2.246.586.1.41.1006903158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","690","1000",1.2.246.586.1.41.1006913158072,./0.png
24.7596177956654,64.014218536851,1.2.246.586.1.41.1006903160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","690","1000",1.2.246.586.1.41.1006913160119,./0.png
28.3324053181764,64.5681256191421,1.2.246.586.1.41.1006903487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","690","1000",1.2.246.586.1.41.1006913487026,./0.png
28.6660790339584,64.4181207891897,1.2.246.586.1.41.1006903487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","690","1000",1.2.246.586.1.41.1006913487028,./0.png
30.8623118941023,62.638645075875,1.2.246.586.1.41.1006903617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","690","1000",1.2.246.586.1.41.1006913617330,./0.png
30.1171937480425,63.044204333297,1.2.246.586.1.41.1006913158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","691","1000",1.2.246.586.1.41.1006923158070,./0.png
25.00797402989,64.5418603457152,1.2.246.586.1.41.1006913158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","691","1001",1.2.246.586.1.41.1006923158072,./0.png
24.7460854408505,64.020953613951,1.2.246.586.1.41.1006913160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","691","1000",1.2.246.586.1.41.1006923160119,./0.png
28.3375930242757,64.5768171719571,1.2.246.586.1.41.1006913487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","691","1000",1.2.246.586.1.41.1006923487026,./0.png
28.6858656345148,64.4208497798832,1.2.246.586.1.41.1006913487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","691","1000",1.2.246.586.1.41.1006923487028,./0.png
30.8775490963085,62.644242064096,1.2.246.586.1.41.1006913617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","691","1001",1.2.246.586.1.41.1006923617330,./0.png
30.1169723320443,63.052954131409,1.2.246.586.1.41.1006923158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","692","1000",1.2.246.586.1.41.1006933158070,./0.png
25.0102166553315,64.5507853281093,1.2.246.586.1.41.1006923158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","692","1000",1.2.246.586.1.41.1006933158072,./0.png
24.7325479637804,64.0276879665589,1.2.246.586.1.41.1006923160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","692","1000",1.2.246.586.1.41.1006933160119,./0.png
28.3491869748473,64.5842543655006,1.2.246.586.1.41.1006923487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","692","1000",1.2.246.586.1.41.1006933487026,./0.png
28.7056265048334,64.4235694890082,1.2.246.586.1.41.1006923487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","692","1000",1.2.246.586.1.41.1006933487028,./0.png
30.8928090283072,62.6498419811372,1.2.246.586.1.41.1006923617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","692","1000",1.2.246.586.1.41.1006933617330,./0.png
30.1122035475583,63.061531353676,1.2.246.586.1.41.1006933158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","693","1000",1.2.246.586.1.41.1006943158070,./0.png
25.0124569095086,64.5597021507905,1.2.246.586.1.41.1006933158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","693","1000",1.2.246.586.1.41.1006943158072,./0.png
24.719003169331,64.0344211969708,1.2.246.586.1.41.1006933160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","693","1000",1.2.246.586.1.41.1006943160119,./0.png
28.3614716910306,64.591513835687,1.2.246.586.1.41.1006933487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","693","1000",1.2.246.586.1.41.1006943487026,./0.png
28.725794079372,64.4255735379382,1.2.246.586.1.41.1006933487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","693","1000",1.2.246.586.1.41.1006943487028,./0.png
30.9080596337098,62.6554345468819,1.2.246.586.1.41.1006933617330,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3617330,"722","693","1002",1.2.246.586.1.41.1006943617330,./0.png
30.1016960487096,63.0690455190105,1.2.246.586.1.41.1006943158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","694","1000",1.2.246.586.1.41.1006953158070,./0.png
25.0147012860729,64.5686203981579,1.2.246.586.1.41.1006943158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","694","1000",1.2.246.586.1.41.1006953158072,./0.png
24.7054510557354,64.0411540431999,1.2.246.586.1.41.1006943160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","694","999",1.2.246.586.1.41.1006953160119,./0.png
