X,Y,id,oid,tila,janteet,alittav_va,alittav_v0,maaraava_j,hyodylline,hyodyllin0,nykyinen_o,katuosoitt,keskipiste,keskipist0,keskipist1,kokonaispi,tunnus,rataosoitt,sijaintiku,tieosoitte,nimi,nykyinenku,vesivaylao,epajatkuvu,painorajoi,paivitetty,korkeusraj,kayttotark,rakenneluo,sijaintisu,vaylanpito,icon_url
24.1694416201706,65.8355670282922,"862484",1.2.246.578.1.15.1402383,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen holvi,lyhenne:Bh,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:7,yksikko:metri,vapaaaukko:mitta:arvo:6.9,yksikko:metri,alikulkukorkeus:arvo:2.4,yksikko:metri",,,"1","arvo:6.2,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"370739","7304496","lat:65.8355670261209,lon:24.1694416155358","arvo:15.07,yksikko:metri",L-2383,"ratanumero:513,ratakilometri:885,etaisyys:824,sijaintiraide:513,nimi:Laurila-Tornio-raja,sijainti:oletus","tunnus:851,nimi:Tornio","nimi:Länsipohjankatu,sijainti:alittava",Kirkkoputaan alikulkusilta 1,"nimi:Väylävirasto,yTunnus:1010547-1",,,,2022-05-22,,"tunnus:19,nimi:Alikulkusilta,kuvaus:Rautatiesilta, joka johtaa tien yli","tunnus:S,nimi:Silta",,"tunnus:RAT,nimi:Rataverkko",./0.png
24.1685278211013,65.8142158030194,"862492",1.2.246.578.1.15.1402389,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen jatkuva ulokelaatta,lyhenne:Bjul,jannetyyppi:nimi:Uloke,tunnus:12,pituus:arvo:1.4,yksikko:metrinumero:2,rakennetyypit:nimi:Teräsbetoninen jatkuva ulokelaatta,lyhenne:Bjul,jannetyyppi:nimi:Tavallinen,tunnus:11,pi",4metri,,"3","arvo:6,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"370590","7302120","lat:65.8142158008478,lon:24.1685278164573","arvo:34,yksikko:metri",L-2389,"ratanumero:520,ratakilometri:888,etaisyys:349,sijaintiraide:520,nimi:Tornio-Röyttä,sijainti:oletus","tunnus:851,nimi:Tornio","nimi:Kerankatu,sijainti:alittava,sijainti:alittava",Kerankadun alikulkusilta,"nimi:Väylävirasto,yTunnus:1010547-1",,,,2022-05-22,,"tunnus:19,nimi:Alikulkusilta,kuvaus:Rautatiesilta, joka johtaa tien yli","tunnus:S,nimi:Silta",,"tunnus:RAT,nimi:Rataverkko",./0.png
24.5631709111857,65.7880799899618,"862518",1.2.246.578.1.15.1401330,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen jatkuva laatta,lyhenne:Bjl,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:12,yksikko:metri,kohtisuoraPituus:arvo:12,yksikko:metri,vapaaaukko:mitta:arvo:11.4,yksikko:metri,kohtisuoraMitta:arvo:11.4,yksikko:met",3.9metri,,"1","arvo:13,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"388506","7298452","lat:65.7880799878277,lon:24.5631709096432","arvo:36.1,yksikko:metri",L-1330,"ratanumero:008,ratakilometri:864,etaisyys:88,sijaintiraide:008 YV-KJÄ,nimi:Oulu-Laurila,sijainti:alittava","tunnus:240,nimi:Kemi","tienumero:19518,tieosa:1,etaisyys:305,ajorata:0,nimi:NÄÄVI PT,sijainti:alittava,tienumero:926,tieosa:1,etaisyys:4036,ajorata:0,nimi:Kemi-Rovaniemi,sijainti:oletus,tienumero:70926,tieosa:958,etaisyys:67,ajorata:0,nimi:Mt 926:n kevyen liikenteen väylät,sij",Lautiosaaren ylikulkusilta,nimi:Lapin ELY-keskus,,,,2022-05-18,,"tunnus:12,nimi:Risteyssilta,kuvaus:Kahden tien eritasoristeykseen rakennettu, ylijohtavalla tiellä sijaitseva silta,tunnus:14,nimi:Ylikulkusilta,kuvaus:Rautatien tai raitiotien yli rakennetulla tiellä sijaitseva silta","tunnus:S,nimi:Silta",,"tunnus:TIE,nimi:Tieverkko",./0.png
24.5341430938796,65.7621547981003,"862550",1.2.246.578.1.15.1401432,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen laatta,lyhenne:Bl,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:7.4,yksikko:metri,vapaaaukko:mitta:arvo:7,yksikko:metri,alikulkukorkeus:arvo:1.4,yksikko:metri",,,"1","arvo:7.6,yksikko:metri",,"nimi:Metsä Fibre Oy,yTunnus:0791416-3",,"387065","7295616","lat:65.7621547959644,lon:24.5341430921942","arvo:17.3,yksikko:metri",L-1432,,"tunnus:240,nimi:Kemi","tienumero:49506,tieosa:1,etaisyys:1704,ajorata:0,nimi:MetsäBotnian tehtaan erikoiskuljetusreitti,sijainti:oletus",Pajusaaren silta,"nimi:Metsä Fibre Oy,yTunnus:0791416-3","nimi:Kemijoki,sijainti:alittava",,,2022-04-08,,"tunnus:11,nimi:Vesistösilta,kuvaus:Vesistön ylittämiseksi rakennettu tiesilta","tunnus:S,nimi:Silta",,,./0.png
24.3443309509765,65.8833754723288,"862544",1.2.246.578.1.15.1401444,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen laatta,lyhenne:Bl,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:5.8,yksikko:metri,vapaaaukko:mitta:arvo:5.5,yksikko:metri,kohtisuoraMitta:arvo:5.5,yksikko:metri,alikulkukorkeus:arvo:0.4,yksikko:metri",,,"1","arvo:7,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"378947","7309472","lat:65.8833754701783,lon:24.3443309480563","arvo:11.7,yksikko:metri",L-1444,,"tunnus:851,nimi:Tornio","tienumero:19541,tieosa:1,etaisyys:3737,ajorata:0,nimi:Raumo-Kalkkimaa pt,sijainti:oletus",Hammasojan silta,nimi:Lapin ELY-keskus,"nimi:Hammasoja,sijainti:alittava",,,2021-10-14,,"tunnus:11,nimi:Vesistösilta,kuvaus:Vesistön ylittämiseksi rakennettu tiesilta","tunnus:S,nimi:Silta",,"tunnus:TIE,nimi:Tieverkko",./0.png
24.5169230945612,65.7640484637762,"862548",1.2.246.578.1.15.1401433,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen palkki,lyhenne:Bp,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:11,yksikko:metri,vapaaaukko:mitta:arvo:10.7,yksikko:metri,alikulkukorkeus:arvo:2.4,yksikko:metri",,,"1","arvo:6.1,yksikko:metri",,"nimi:Metsä Fibre Oy,yTunnus:0791416-3",,"386285","7295858","lat:65.7640484616392,lon:24.5169230927858","arvo:20.5,yksikko:metri",L-1433,,"tunnus:240,nimi:Kemi",,Sotisaaren silta,"nimi:Metsä Fibre Oy,yTunnus:0791416-3","nimi:Majapudas,sijainti:alittava",,,2022-02-03,,"tunnus:11,nimi:Vesistösilta,kuvaus:Vesistön ylittämiseksi rakennettu tiesilta","tunnus:S,nimi:Silta",,,./0.png
24.1677977233353,65.8681935218645,"862573",1.2.246.578.1.15.1401512,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen jatkuva laatta,lyhenne:Bjl,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:16.3,yksikko:metri,vapaaaukko:mitta:arvo:15.24,yksikko:metri,kohtisuoraMitta:arvo:13.24,yksikko:metri,alikulkukorkeus:arvo:1,yksikko:m",,,"1","arvo:10.6,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"370828","7308133","lat:65.8681935196931,lon:24.1677977186786","arvo:43.6,yksikko:metri",L-1512,,"tunnus:851,nimi:Tornio","tienumero:21,tieosa:105,etaisyys:2800,ajorata:0,nimi:Tornio-Kilpisjärvi,sijainti:oletus",Kivirannan silta,nimi:Lapin ELY-keskus,sijainti:alittava,,,2021-10-20,,"tunnus:11,nimi:Vesistösilta,kuvaus:Vesistön ylittämiseksi rakennettu tiesilta","tunnus:S,nimi:Silta",,"tunnus:TIE,nimi:Tieverkko",./0.png
24.5558802303884,65.8808509904691,"862585",1.2.246.578.1.15.1401534,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen jatkuva laatta,lyhenne:Bjl,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:10.36,yksikko:metri,kohtisuoraPituus:arvo:8.8,yksikko:metri,vapaaaukko:mitta:arvo:9.5,yksikko:metri,kohtisuoraMitta:arvo:8.18,yksikko:",,,"2","arvo:10.6,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"388575","7308799","lat:65.8808509883347,lon:24.5558802288088","arvo:41.4,yksikko:metri",L-1534,"nimi:Kalkkimaan rautatie (purettu),sijainti:alittava","tunnus:241,nimi:Keminmaa","tienumero:4,tieosa:429,etaisyys:4386,ajorata:0,nimi:Helsinki-Utsjoki,sijainti:oletus",Kalkkimaan radan ylikulkusilta,nimi:Lapin ELY-keskus,,,,2021-10-13,,"tunnus:15,nimi:Alikulkukäytävä,kuvaus:Silta, joka johtaa kevyen-, traktori- yms. lähiliikenteen tai karjan tien alitse","tunnus:S,nimi:Silta",,"tunnus:TIE,nimi:Tieverkko",./0.png
24.1969558804599,65.8205306513587,"862600",1.2.246.578.1.15.1401560,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen laatta, elementtirakenteinen,lyhenne:Bl,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:4,yksikko:metri,vapaaaukko:mitta:arvo:4,yksikko:metri,alikulkukorkeus:arvo:3,yksikko:metri",,,"1","arvo:8.5,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"371920","7302765","lat:65.8205306491911,lon:24.1969558761415","arvo:4.4,yksikko:metri",L-1560,,"tunnus:851,nimi:Tornio","tienumero:70922,tieosa:901,etaisyys:2417,ajorata:0,nimi:Jk ja pp-tie,sijainti:alittava,tienumero:922,tieosa:1,etaisyys:2293,ajorata:0,nimi:Tornio-Röyttä,sijainti:oletus",Pirkkiön alikulkukäytävä,nimi:Lapin ELY-keskus,,,,2021-10-20,,"tunnus:15,nimi:Alikulkukäytävä,kuvaus:Silta, joka johtaa kevyen-, traktori- yms. lähiliikenteen tai karjan tien alitse","tunnus:S,nimi:Silta",,"tunnus:TIE,nimi:Tieverkko",./0.png
24.1627563366952,65.7644810931161,"862603",1.2.246.578.1.15.1401570,kaytossa,"numero:1,rakennetyypit:nimi:Teräsbetoninen jatkuva laatta,lyhenne:Bjl,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:20.04,yksikko:metri,kohtisuoraPituus:arvo:14.71,yksikko:metri,vapaaaukko:mitta:arvo:18.68,yksikko:metri,kohtisuoraMitta:arvo:13.21,yks",,,"1","arvo:7.6,yksikko:metri",,nimi:Outokumpu Stainless Oy,,"370076","7296593","lat:65.7644810909436,lon:24.1627563319863","arvo:109.8,yksikko:metri",L-1570,"ratanumero:520,ratakilometri:894,etaisyys:1,sijaintiraide:RÖY V001-V002,nimi:Tornio-Röyttä,sijainti:alittava,ratanumero:520,ratakilometri:894,etaisyys:1,sijaintiraide:520,nimi:Tornio-Röyttä,sijainti:alittava","tunnus:851,nimi:Tornio",,Röyttän ylikulkusilta,,,,,2022-05-22,,"tunnus:14,nimi:Ylikulkusilta,kuvaus:Rautatien tai raitiotien yli rakennetulla tiellä sijaitseva silta","tunnus:S,nimi:Silta",,,./0.png
24.226908247579,65.8388363597893,"862608",1.2.246.578.1.15.1401776,purettu,"numero:1,rakennetyypit:nimi:Jännitetty betoninen palkki, puolielementtirakenteinen,lyhenne:jBp,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:11.4,yksikko:metri,vapaaaukko:mitta:arvo:10.8,yksikko:metri,kohtisuoraMitta:arvo:10.8,yksikko:metri,alikulkuk",,,"1","arvo:3.62,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"373378","7304743","lat:65.8388363576257,lon:24.2269082435821","arvo:16.5,yksikko:metri",L-1776,,"tunnus:851,nimi:Tornio",,Vuotinputaan JK ja PT silta,nimi:Lapin ELY-keskus,"nimi:Liakanjoki,sijainti:alittava",,,2021-02-24,,"tunnus:20,nimi:Raittisilta,kuvaus:Silta, joka johtaa kevyen-, traktori- yms. liikenteen tai karjan vesistön yli","tunnus:S,nimi:Silta",,"tunnus:TIE,nimi:Tieverkko",./0.png
24.15676895,65.8445627793687,"862616",1.2.246.578.1.15.1401614,kaytossa,"numero:1,rakennetyypit:nimi:Teräksinen jatkuva palkki, teräsbetonikantinen,lyhenne:Tjpb,jannetyyppi:nimi:Tavallinen,tunnus:11,pituus:arvo:54,yksikko:metri,vapaaaukko:mitta:arvo:51.8,yksikko:metri,kohtisuoraMitta:arvo:51.8,yksikko:metri,alikulkukorkeus:ar",,,"3","arvo:17.5,yksikko:metri",,"nimi:Väylävirasto,yTunnus:1010547-1",,"370206","7305524","lat:65.8445627771957,lon:24.1567689452129","arvo:318,yksikko:metri",L-1614,,"tunnus:851,nimi:Tornio","tienumero:29,tieosa:3,etaisyys:1931,ajorata:1,nimi:Keminmaa-Tornio-Ruotsinraja,sijainti:oletus,tienumero:29,tieosa:3,etaisyys:1931,ajorata:2,nimi:Keminmaa-Tornio-Ruotsinraja,sijainti:oletus",Tornion silta,nimi:Lapin ELY-keskus,"nimi:TORNIOJOKI,sijainti:alittava",,,2022-04-12,,"tunnus:11,nimi:Vesistösilta,kuvaus:Vesistön ylittämiseksi rakennettu tiesilta","tunnus:S,nimi:Silta",,"tunnus:TIE,nimi:Tieverkko",./0.png
